learning start at Fri Jun 22 16:09:52 2018
('episode:', 920000, '/ miss:', 894, '/ agari:', 6348, '/ draw:', 2758, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.599976918798313e-309), ('average_entropy', 0.0550198860006248)])
('episode:', 930000, '/ miss:', 1025, '/ agari:', 6410, '/ draw:', 2565, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.051347284930473934)])
('episode:', 940000, '/ miss:', 1523, '/ agari:', 6118, '/ draw:', 2359, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.465e-321), ('average_entropy', 0.06289100825343319)])
('episode:', 950000, '/ miss:', 1232, '/ agari:', 6286, '/ draw:', 2482, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.950035575694624e-05), ('average_entropy', 0.06677468690823038)])
('episode:', 960000, '/ miss:', 889, '/ agari:', 6704, '/ draw:', 2407, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.190697624986179e-31), ('average_entropy', 0.053736969626632755)])
('episode:', 970000, '/ miss:', 808, '/ agari:', 6681, '/ draw:', 2511, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.317340080928724e-83), ('average_entropy', 0.046261574744159505)])
('episode:', 980000, '/ miss:', 796, '/ agari:', 6778, '/ draw:', 2426, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.517089283487902e-134), ('average_entropy', 0.04360553760026174)])
('episode:', 990000, '/ miss:', 545, '/ agari:', 6896, '/ draw:', 2559, '/ tenpai:', 0, '/ statistics:', [('average_value', 5.275426152389353e-185), ('average_entropy', 0.03796539321878308)])
('episode:', 1000000, '/ miss:', 573, '/ agari:', 7128, '/ draw:', 2299, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.771778173824008e-46), ('average_entropy', 0.04985846770980332)])
('episode:', 1010000, '/ miss:', 1053, '/ agari:', 1779, '/ draw:', 7168, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.086151289821802e-07), ('average_entropy', 0.05931080479260313)])
('episode:', 1020000, '/ miss:', 1005, '/ agari:', 1956, '/ draw:', 7039, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.8372961357694712e-16), ('average_entropy', 0.05268952083154425)])
('episode:', 1030000, '/ miss:', 904, '/ agari:', 2072, '/ draw:', 7024, '/ tenpai:', 0, '/ statistics:', [('average_value', 8.283918971487425e-10), ('average_entropy', 0.06775844403081133)])
('episode:', 1040000, '/ miss:', 885, '/ agari:', 2179, '/ draw:', 6936, '/ tenpai:', 0, '/ statistics:', [('average_value', 6.214845903541975e-12), ('average_entropy', 0.06511014789246392)])
('episode:', 1050000, '/ miss:', 863, '/ agari:', 2099, '/ draw:', 7038, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.5737950767765714e-05), ('average_entropy', 0.07055052189421554)])
('episode:', 1060000, '/ miss:', 816, '/ agari:', 2255, '/ draw:', 6929, '/ tenpai:', 0, '/ statistics:', [('average_value', 9.700416971019783e-11), ('average_entropy', 0.06619453844979856)])
('episode:', 1070000, '/ miss:', 836, '/ agari:', 2226, '/ draw:', 6938, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.1263577978995363e-06), ('average_entropy', 0.07071386439208278)])
('episode:', 1080000, '/ miss:', 745, '/ agari:', 2332, '/ draw:', 6923, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.5570332785216973e-05), ('average_entropy', 0.06876842817709984)])
('episode:', 1090000, '/ miss:', 792, '/ agari:', 2317, '/ draw:', 6891, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.8169091152357862e-08), ('average_entropy', 0.06657543552214135)])
('episode:', 1100000, '/ miss:', 541, '/ agari:', 2363, '/ draw:', 7096, '/ tenpai:', 0, '/ statistics:', [('average_value', 4.759630454958691e-35), ('average_entropy', 0.06226082407921829)])
('episode:', 1110000, '/ miss:', 441, '/ agari:', 2325, '/ draw:', 7234, '/ tenpai:', 0, '/ statistics:', [('average_value', 1.2575442554186218e-05), ('average_entropy', 0.05712231343775684)])
('episode:', 1120000, '/ miss:', 406, '/ agari:', 2369, '/ draw:', 7225, '/ tenpai:', 0, '/ statistics:', [('average_value', 2.3929244223831938e-06), ('average_entropy', 0.05640962442090601)])
