episode,stage,miss,agari,draw,tenpai,average_value,average_entropy
 1820000,5, 243, 3415, 6342, 0, 0.22079362004819197, 0.036958937020996306
 1830000,5, 276, 3494, 6230, 0, 0.2194484284876391, 0.032343722189138016
 1840000,5, 209, 3483, 6308, 0, 0.2568019910957826, 0.030242573744974386
 1850000,5, 192, 3671, 6137, 0, 0.2286366579843537, 0.035902274627171084
 1860000,5, 205, 3138, 6657, 0, 0.20775272666134936, 0.047822984002957925
 1870000,5, 209, 3396, 6395, 0, 0.25083278464099795, 0.031114277732945526
 1880000,5, 209, 3509, 6282, 0, 0.23821752487964568, 0.0320558943830144
 1890000,5, 178, 3612, 6210, 0, 0.2481758735201754, 0.03572562466177137
 1900000,5, 216, 3489, 6295, 0, 0.18667535736993401, 0.034381965023221835
 1910000,5, 278, 3607, 6115, 0, 0.21322189865412922, 0.03125553590525031
 1920000,5, 204, 3640, 6156, 0, 0.24654442108374866, 0.029957894275174948
 1930000,5, 186, 3742, 6072, 0, 0.22395332725127848, 0.029566276784711156
 1940000,5, 185, 3604, 6211, 0, 0.290992966274545, 0.02929691875970159
 1950000,5, 177, 3665, 6158, 0, 0.24487517729218988, 0.030122134683901004
 1960000,5, 211, 3622, 6167, 0, 0.2056940612490286, 0.040043619378589065
 1970000,5, 172, 3614, 6214, 0, 0.3093123432006548, 0.03174377253568646
 1980000,5, 193, 3455, 6352, 0, 0.23355509246774114, 0.03271823149763231
 1990000,5, 200, 3605, 6195, 0, 0.20665481255367274, 0.031098832675167932
 2000000,5, 288, 3405, 6307, 0, 0.238528506332919, 0.031153271765951923
 2010000,5, 229, 3596, 6175, 0, 0.24563182489219507, 0.028752486329858086
 2020000,5, 195, 3602, 6203, 0, 0.2686490239957078, 0.03164336281992868
 2030000,5, 201, 3604, 6195, 0, 0.26199092934767565, 0.02887183329134267
 2040000,5, 174, 3782, 6044, 0, 0.252250479141649, 0.029354261209004053
 2050000,5, 218, 3637, 6145, 0, 0.21231466521383408, 0.035558170028491445
 2060000,5, 228, 3579, 6193, 0, 0.21540232562995218, 0.030588775749810625
